eventid,uid,output
8703002,17909,"Protest Information Extracted:

1. Costly cleaning project: The state refused to undertake a costly cleaning project, leading to frustration among residents and officials.
2. Salt usage concerns: Residents and officials are concerned about the excessive use of salt on roads, citing environmental damage and potential health risks from sodium contamination in drinking water.
3. Frustration with State Department of Transportation: Officials feel frustrated with the State Department of Transportation's refusal to change its road-salting practices, leading to continued pressure to reform.
4. Growing numbers of commuters: The increasing number of commuters using winding roads that require salt to remain safe is contributing to the growing use of salt on roads.
5. Environmental concerns: Highway superintendents acknowledge the environmental damage caused by excessive salt usage, but prioritize safety and convenience over environmental concerns.
6. No formal standards for sodium levels: There are no formal standards for the amount of sodium permitted in drinking water, although state guidelines exist for individuals with salt-restricted diets.
7. Sodium concentrations in North Salem wells: The wells tested in North Salem had sodium concentrations as high as 200 and chloride concentrations as high as 400, but were still within normal levels when not affected by recent road salt usage.

Key Quotes:

* ""It's like butting your head against a wall."" - Frank B. McKown, president of the Bedford Association
* ""For every person who says we are using too much salt, there is someone who says we are not using enough."" - Edward J. Kearin, Highway Superintendent of Lewisboro
* ""I think people are grateful that they have safe roads."" - Edward F. Kelly, president of the Westchester Highway Supervisors Association"
8703003,18548,0
8703007,19299,0
8703008,19949,0
8703009,20092,1
8703041,20183,0
8703042,20564,0
8703044,20765,0
8703043,20802,1
8703045,21054,0
8703046,21751,1.
8703049,22003,1
8703018,22026,1
8703048,22044,0
8703050,22476,0
8703052,23515,0
8703056,24005,0
8703057,24019,1-Yes
8703058,24256,1.
8703063,24605,0
8703062,24753,0
8703069,25267,0
8703070,25849,1
8704010,27243,1.
8704008,27674,0
8704012,28098,1
8704011,28502,1
8704015,28943,"This article reports on tensions and conflicts between the Hasidic Jewish community and the African American community in Crown Heights, Brooklyn. The main issues mentioned include:

1. Real estate: Black residents have reported receiving numerous requests from Hasidic leaders to sell their homes, which they view as insensitive and a form of gentrification.
2. Security patrol: An all-white volunteer security patrol run by the Crown Heights Jewish Community Council has been criticized by black community leaders for being a ""vigilante"" squad that targets African Americans.
3. Development grants: The distribution of $295,138 in Community Development Agency grants has been questioned, with 45% going to the Jewish Community Council and only 14% to a black-controlled organization.

The article also highlights the sense of powerlessness felt by many black residents in Crown Heights, who feel that their community is being administered by whites. The situation has led to feelings of frustration, mistrust, and resentment between the two communities.

Some notable quotes from the article include:

* ""What gall"" - Rev. Heron Sam, rector of St. Marks Episcopal Church, reacting to a request from Hasidic leaders to sell his church.
* ""It is the height of insensitivity"" - Wilbur LaBorde, black resident, responding to repeated requests to sell his home.
* ""You know if someone is mugged, you know the person is black. There is no secret about that. When you talk about crime in this neighborhood, it is a one-way street."" - Rabbi Yisroel Rosenfeld, director of the Crown Heights Jewish Community Council.
* ""Sometimes I feel like we are living in an apartheid state where a tiny minority is controlling our state"" - Anita Burson, executive and native Crown Heights resident.

Overall, the article suggests that deep-seated tensions and conflicts between the Hasidic Jewish community and African American community in Crown Heights may be difficult to resolve without significant changes in the way resources are distributed and community leadership operates."
8704016,29641,1
8704017,32007,0
8704018,32085,0
8704021,32163,0
8704020,32281,0
8704019,32298,0
8704028,33706,0
8704032,34785,1
8704033,35210,0
8705003,36604,0.
8705001,36649,1
8705006,36949,0
8705009,37661,1.
8705010,37998,1
8705011,38174,0
8705012,38199,0.
8705013,38530,0
8705014,38568,1. Yes
8704003,38611,1
8705015,38645,0
8705017,39005,0
8705020,40299,0
8705024,40706,0
8705028,41949,1
8705032,43986,1.
8705038,45151,0
8706003,45828,1
8706004,46172,0
8706009,47136,1
8706010,47583,0
8706011,48463,0.
8706013,51623,1. Yes
8706014,51651,1
8706015,52630,0
8706016,52873,0
8706017,53011,1
8707002,53356,0
8707004,53415,0
8707001,53531,0
8707005,53646,0
8707006,53889,0
8707015,54901,0.
8707014,54902,0
8707018,55012,0
8707020,55338,1
8707022,55736,1.
8707026,56805,0
8707029,56864,0
8707031,57587,0
8707036,57815,0
8707035,57933,0.
8707038,57934,0
8707034,57990,1
8707041,58296,0
8707042,58348,0
8707039,58360,1
8707048,60345,1
8707047,60350,1.
8707052,60350,1
8707049,60756,1
8707050,61310,1.
8707051,61711,0
8708004,62205,0
8708005,62254,0
8708037,63145,1
8708008,63391,0
8708009,63503,0.
8708010,63836,0
8708012,64032,0
8708013,64475,1
8708014,65572,0
8703017,66382,0
8708017,66382,0
8708018,67135,0
8708020,67288,0
8708021,67603,0. The article does not mention police at the event.
8708040,67613,0
8708041,67888,1.
8708025,68210,0
8708028,68286,0
8708027,68452,1
8708029,69111,1
8709002,70818,0.
8709004,70823,"0. The article does not mention police at the event. It discusses surrogacy contracts and protests against them, but there is no mention of police involvement."
8709008,71135,0
8709007,71191,1.
8709013,71243,0
8709016,72025,0
8709017,72050,0
8709025,72883,0
8709024,72929,0
8709026,73345,0
8709027,73492,1.
8709028,73691,1
8709030,73831,1.
8709029,74291,0
8709031,74687,0.
8709033,74972,0
8709036,75132,0
8709080,75132,0
8709038,75192,1
8709037,75197,1
8709048,76870,0
8709056,77583,0
8709058,77663,0
8709061,78222,1
8709062,78342,1
8704034,78592,1.
8709065,78751,0
8710001,78900,0
8710006,79593,0
8710008,79885,1-Yes
8710010,80151,0
8710011,80275,1
8710013,80785,0. There is no mention of police at the event in this news article.
8710017,80873,1
8710016,80889,1
8710038,80889,1.
8710014,80905,0
8710020,81585,1
8710019,81712,1
8710023,82146,0
8710025,82467,0
8710026,82621,1
8710031,84335,1
8710033,86413,0
8710035,87666,0
8711003,88487,1
8711001,88559,"0. There is no mention of police at the event in this news article. The event mentioned is a meeting of 3,400 family therapists, and there is no involvement or presence of police."
8711002,88589,1.
8711008,88916,0
8711007,88925,0
8711010,88962,0
8711006,88987,0.
8711014,89465,0
8711015,89800,0
8711017,90824,1.
8711020,91338,0
8711021,91378,0
8711022,91499,1.
8711023,92271,1
8711028,94170,0
8711029,94733,0
8711060,95369,0
8711036,95409,1
8711033,95415,0
8711034,95417,0
8711032,95467,0. There is no mention of police at the event in this news article.
8711040,95880,1
8711038,95884,0
8711039,95887,"Here is the extracted protest information:

* Date: Sunday (no specific date mentioned)
* Location: Atlanta, Georgia (Federal prison system)
* Number of participants: Unknown, but estimated to be around 1,392 Cuban inmates out of a total of 1,900 inmates at the prison
* Demands:
	+ Individual hearings for inmates
	+ No retaliation against inmates who surrender
	+ No lock-down or confinement of prisoners after giving up
* Tactics used:
	+ Uprising and rioting, involving hostage-taking and setting fires
	+ Use of walkie-talkies to communicate with authorities
* Outcomes:
	+ All but six inmates returned to custody by the end of Monday (no specific details on how this was achieved)
	+ Fires continued to burn out of control throughout the night, posing a risk to prison buildings and personnel
	+ Negotiations between authorities and inmate representatives were ongoing, with no reports of progress made by Tuesday morning
* Context:
	+ The protest was sparked by the Cuban inmates' desire to be deported back to Cuba rather than remaining in US prisons
	+ Many Cubans at the Atlanta prison had been jailed for minor offenses or held beyond their sentenced time and were awaiting deportation as excludable aliens"
8711044,96651,1
8711045,96710,0
8711049,97584,1
8711050,97604,0
8712003,98299,0
8712006,98604,0
8712012,99595,0
8712021,101151,0
8712022,101440,0
8712023,101447,0.
8712025,101708,0
8712028,102245,0
8712027,102304,0.
8712030,102632,0
8712035,103384,0
8712034,103461,1
8712033,103507,1
8712039,103936,1
8712040,104216,0
8712042,104532,0
8712041,104546,1
8712043,105204,1.
8712048,105631,0
8712047,105639,0
8712049,105833,1.
8712050,106019,0
8712051,106077,1.
8801001,106241,1
8801002,106281,1
8801003,106373,1
8801005,106625,1
8801014,107637,0
8801017,108325,1
8801022,110174,1
8801024,110388,0
8801027,110935,1
8801028,110935,1
8801032,112115,1.
8801034,112151,1
8801033,112155,0
8801036,112747,0
8801040,114037,1.
8802008,115041,1
8802007,115227,0
8802016,115524,1
8802019,115747,1
8802020,116275,0
8802021,117079,1
8802010,117146,0
8802025,118113,1
8802030,118689,0
8802015,118807,0
8802032,120155,1
8802055,120366,1-Yes
8802035,120621,1
8802031,121704,0
8802056,122416,1.
8802050,123394,0
8803001,123649,0
8803006,123657,1.
8803063,123659,0
8803062,123709,0
8803064,124070,0
8803012,124507,0
8803013,124541,0
8803065,124796,1.
8803028,125573,0
8803066,125574,0.
8803030,126774,0
8803061,127048,0
8803036,128043,0
8803040,128409,0.
8803039,128578,0
8803067,129474,1.
8803043,129905,1.
8803044,130101,0
8803049,131209,1.
8803048,131220,0
8803055,131389,0.
8803060,131841,0
8804001,132798,0
8804004,133208,1.
8804005,133260,1.
8804006,133286,1.
8804002,133325,0
8804009,133541,0
8804013,134026,1
8804014,134026,1
8804012,134469,0
8804015,134763,0
8804017,135588,1
8804018,135662,1
8804019,136506,0.
8804021,138303,0
8804020,138650,0
8804022,138754,0
8804024,138776,0
8804025,139194,1
8804029,139375,1
8804030,139826,0
8804023,140280,0
8804031,140291,0
8805001,141442,1
8805003,141455,1
8805005,141522,0
8805009,143722,0
8805010,143737,0
8805012,143954,0
8805013,144482,0
8805017,145835,0.
8805018,146162,0.
8805019,146605,0
8805021,147672,0
8805025,148203,0
8805024,148222,1.
8805026,148364,0
8805027,148689,0.
9110068,151066,1
8806004,151273,0
8806009,151963,"This article reports on a contempt hearing for Tawana Brawley, who is accused of failing to comply with a subpoena to testify before a grand jury. The hearing was marked by tension and controversy, as lawyers for Brawley, Mr. Maddox and Mr. Mason, sought to turn the proceeding into a trial of the State of New York's treatment of African Americans.

The article describes the scene outside the courtroom, where hundreds of people were unable to gain entry due to limited seating. The Brawley supporters, including Rev. Louis Farrakhan, were turned away by court officials.

Inside the courtroom, the lawyers for Brawley raised objections to various aspects of the hearing, including media coverage and the lack of seats available for their supporters. Mr. Maddox argued that African Americans have been subjected to 400 years of oppression and that this case was a manifestation of that systemic racism.

The judge ultimately ruled against Brawley, finding her in contempt and ordering her to appear before the grand jury. The article also quotes an attorney for Brawley's family, Mr. Abrams, who criticized the lawyers' performance at the hearing and suggested that they were seeking to create a martyr out of Tawana Brawley.

Following the hearing, a march was organized by Brawley supporters, which ended in front of the Social Services Department building. The event created an angry atmosphere, with chanting and shouting, but no violence or confrontation occurred.

Overall, this article highlights the contentious nature of the contempt hearing and the broader issues of racism and systemic injustice that underlie the case of Tawana Brawley."
8806010,152059,0
8806013,152715,1.
8806015,153068,0
8806016,153583,0
8806017,153648,1.
8806018,153861,1.
8806020,154492,0
8806019,154544,1. Yes
8806021,155108,0
8806028,157530,0
8806027,157638,0
8807005,159079,1
8807008,160253,1
8807010,160603,1.
8807013,162110,1
8807018,163632,0
8807021,165975,1
8807022,166413,0
8808002,167123,0
8808003,167665,0.
8808016,169109,0
8808017,169305,0
8808030,170911,1
8808033,171448,1
8808034,171925,0
8808039,173125,0
8808038,173207,0
8808040,173246,1
8808041,173386,"The article discusses the plight of families who adopted children with special needs from state agencies in the 1970s and 1980s, only to discover that their children had severe emotional and behavioral problems due to past abuse or neglect. The parents interviewed for the article describe their children's symptoms, such as self-destructive behavior, aggression, and a lack of emotional attachment.

Many of these parents believe that their children are ""unattached"" children, a term coined by Dr. Ken Magid, who suggests that these children have been severely abused from birth and are unable to form emotional bonds later in life. The symptoms of unattached children reportedly worsen as they approach puberty.

The article highlights the frustration and helplessness felt by many adoptive parents who were not prepared for the challenges they would face in caring for their children. Some parents blame the state for hiding information about their child's past, while others are angry that they were given inadequate support or resources to help them cope with their child's needs.

The article also notes that some families may be forced to consider giving up custody of their children due to the financial and emotional burden of caring for a child with severe special needs. The case of Roberta and Clem Wendling, who had to surrender temporary custody of their 9-year-old daughter to the state due to her uncontrollable behavior, serves as an example.

Overall, the article paints a picture of adoptive families struggling to cope with the unexpected challenges of caring for children with special needs, often feeling overwhelmed by the lack of support and resources available to them."
8808042,173571,1
8808043,173874,1
8808044,174552,1
8808046,174945,1.
8808048,174998,0.
8808047,175012,0
8808053,175241,0
8808049,175247,1
8808054,175395,1
8809001,177100,0
8809006,177191,1
8809005,177287,0
8809002,177288,1
8809010,177562,0
8809014,177654,0
8809015,178100,1.
8809016,178127,0.
8809020,178356,0.
8809019,178389,0
8809025,178861,0
8809026,179469,1.
8809028,179932,1
8809033,180378,1
8809034,180410,1-Yes
8809035,180721,1.
8809036,181074,0
8809039,181493,1
8809040,182406,1.
8809042,182830,0
8809044,183072,1
8809043,183889,0
8810004,184243,1.
8810003,184370,0
8810006,185234,1.
8811053,185517,"0. There is no mention of police at the event in the news article. The article discusses a lawsuit filed against the Immigration and Naturalization Service (I.N.S.) regarding the treatment of Haitian refugees seeking asylum, but it does not mention police involvement."
8810007,186753,1.
8810008,187133,1.
8810009,187421,0
8810010,188136,0
8810014,189075,0.
8810016,189278,1
8810015,189381,0.
8810017,190003,1
8810020,190946,0
8810022,193130,0
8810023,193405,1.
8811003,193579,0
8811002,193618,0
8811001,193668,1
8811005,193939,1.
8811004,193940,1
8811006,194365,0
8811054,194660,0
8811011,195102,0
8811009,195416,0
8811013,195607,0
8811017,195846,0.
8811018,196988,1.
8811021,197247,0
8811022,197696,1
8811027,198047,1.
8811028,198208,1.
8811031,198898,1
8811032,198976,1.
8811037,199944,0
8811038,200296,1
8811039,200312,1
8811041,201507,1.
8811042,201552,0
8811044,201845,0
8811055,202680,0
8811050,202780,0
8812001,203233,0
8812004,203968,0
8812006,204117,0
8812007,204322,0
8812008,204670,0.
8812009,204892,1
8812011,205300,0
8812010,205364,1
8812012,205652,0
8812013,205963,0
8812014,206787,0
8812016,207225,1
8812021,208103,0
8812020,208178,0
8812028,209057,0
8812029,209139,0
8812026,209460,0
8812030,209689,<1>
8812027,209699,1
8812031,210554,1
8901001,210659,1
8901004,210994,1
8901007,211229,1
8901009,212134,0
8901015,212714,"0. The article does not mention police at the event. It appears to be discussing a lawsuit and report on the Louisiana foster care program, with no reference to police involvement."
8901094,213444,0
8901023,213510,0.
8901038,213639,0
8901025,213681,0
8901034,213854,0
8901049,214072,0.
8901047,214405,0
8901053,214603,1.
8901055,214890,1
8901066,215020,"0. The article does not mention police at the event or protest mentioned. It only discusses the reorganization of the Yellow Pages and the inclusion of a separate listing for gay and lesbian services, which was achieved through negotiations between Nynex Corporation and the Gay and Lesbian Alliance Against Defamation."
8901068,215654,0
8901108,215754,1
8901070,216421,1
8901074,216581,"Here are some extracted protest information:

* The downtown area of Hempstead is the site of controversy regarding a redevelopment project.
* Many businesses and residents in the area are opposed to the project, which they claim will lead to their displacement and dislocation.
* One business owner, Leonard Myers, stated that the plan ""is not the way to redo the community that's going to serve all the interests.""
* Another business owner, Howard Kalinsky, claimed that the redevelopment would be a ""pure, unadulterated rape"" because property owners would be forced to sell their properties at a low price.
* The protesters, who call themselves PUSH (People Uniting for Sensible Handling), have been meeting with Assemblywoman Hill and others to express their concerns.
* Some of the issues raised by the protesters include:
	+ Loss of tax revenue: If businesses are replaced, there may not be enough new revenue to make up for the loss.
	+ Potential for failure: If new businesses do not succeed, they may require tax abatements that eliminate revenue rather than generate it.
* The project has been delayed due to the controversy and uncertainty about funding."
8901079,217264,0. There is no mention of police at the event in this news article.
8901082,217971,0
8902012,219654,0
8902002,219704,1.
8902014,219757,0.
8902017,220372,0
8902018,220382,0.
8902019,220420,1
8902021,221290,0
8902023,222017,0. There is no mention of police at the event in this news article.
8902024,222102,1.
8902028,222732,0
8902030,223185,0
8902033,223314,0
8902061,223314,0
8902029,224169,0
8902035,224944,1
8902042,225094,1.
8902064,225475,0
8902043,225526,0
8902047,225841,0
8902046,225898,1
8902050,226318,0
8902058,227009,0
8902038,227011,1.
8902057,227033,0
8903002,227832,1
8903006,227905,0
8903007,228245,1.
8903008,228260,1
8903014,229167,1
8903013,229199,1.
8903021,230130,0
8903031,231186,0
8903033,231527,0
8903038,231855,1
8903040,232084,0
8903042,232629,0.
8903044,232760,1
8903043,232862,1
8903061,234803,0
8903062,234806,0
8903064,235292,1
8903066,235660,1. Yes
8904047,236807,1. Yes
8904003,236924,0
8904007,237795,0
8904013,239005,1
8904049,239005,1
8904016,239328,0
8904021,240571,0
8904025,242993,0
8904027,243342,1
8904039,244336,0
8904042,244798,0. There is no mention of police at the event in this news article.
8904043,245557,1.
8905002,245868,1
8905001,245871,1
8905003,246149,0
8905005,246302,1. Yes
8905006,246561,0
8905004,246590,1
8905007,246653,0
8905008,247473,0
8905011,247645,1
8905010,247770,0
8905009,247844,0
8905013,248459,0.
8905016,249021,1
8905017,249072,0
8905018,249326,1
8905021,250186,0
8905024,250472,0
8905025,251193,0
8905034,251986,0
8905036,252491,0
8905042,252709,0
8905039,252715,0
8905040,252726,1
8905041,253072,1
9109034,253106,0
8905044,253637,1
8905045,254178,0
8905046,254179,0
8905047,254516,1.
8905050,254638,0
8905049,254708,1
8905048,254709,0
8906003,255279,1
8906002,255286,0
8906001,255412,0. There is no mention of police at the event in this news article.
8906005,255593,1. Yes
8906004,255599,0
8906008,255871,1
8906006,255958,0. The article does not mention police at the event.
8906009,256299,0
8906011,256666,0
8906013,256915,0
8906017,257317,0.
8906016,257368,"Here is the protest information extracted from the news article:

**Protest Demands:**

1. Free speech
2. Freedom of association
3. Fair coverage of news in China
4. Laws to be upheld fairly
5. Condemnation of corruption among government officials

**Protest Goals:**

1. End one-party dictatorship
2. Establish a multiparty system
3. Protect Chinese people from dictators and ensure their basic rights

**Protest Ideals:**

1. Democracy
2. Freedom
3. Representative government

**Protest Inspiration:**

1. George Washington as an ideal leader
2. Western books, particularly translated novels and philosophical texts

**Protest History:**

1. May Fourth Movement of 1919 - compared to the current student protests
2. Comparison between Chinese students in the early 20th century and present-day students, highlighting differences in focus (foreign occupation vs. internal government issues)

Let me know if you'd like me to extract any specific information or if you have further requests!"
8906025,258226,1
8906028,258578,0
8906030,259048,1
8906032,259223,1
8906033,259809,0
8906036,260301,1.
8906038,260445,1
8906041,261405,"This news article discusses the 20-year anniversary of the Stonewall riots, a pivotal event in the LGBTQ+ movement that marked a shift from tolerance to activism. The article highlights how the riots brought together people of different races and genders, creating a sense of community and solidarity.

The article also notes the significant changes that have occurred since Stonewall:

* Homosexuals are now an accepted part of society, with many politicians and institutions recognizing their rights.
* Laws prohibiting sodomy (homosexual acts) have been repealed or invalidated in 24 states.
* Federal courts have generally supported homosexual plaintiffs in cases where their rights were challenged.

However, the article also notes that there is still work to be done:

* The Supreme Court's 1986 decision upholding Georgia's sodomy law has slowed momentum for repeal of remaining laws.
* Some states still have sodomy laws on the books, which can be used to prosecute homosexuals.
* The Federal court system may be more conservative now, making it harder for homosexual activists to win cases.

The article concludes by noting that the focus of the gay rights movement has shifted from the courts to politics:

* AIDS has become a major issue, bringing new levels of organizing and access to policymakers.
* The Human Rights Campaign Fund, a political action committee, has become a significant player in elections.

Overall, this article highlights the progress made by the LGBTQ+ community over the past 20 years, while also acknowledging that there is still much work to be done."
8907001,262732,0
8907007,263532,0
8907011,263537,0
8807006,263626,1
8907012,263795,1
8907013,263933,0
8907020,263992,1.
8907015,264004,1
8907032,264904,0
8907037,265203,0
8907039,265408,1
8907040,265573,0.
8907043,265751,0
8907046,266287,0
8907049,266559,0
8907048,266568,0
8907051,266816,0
8907056,267030,0
8907059,267743,0
8907063,268113,0
8907065,269064,0
8907072,269064,0.
8907073,269124,0
8907075,269189,0
8907079,269752,1
8907088,270505,"Here's the extracted information about protests related to the grandfather clause and transition-area regulations:

* The grandfather clause exempted projects that met certain criteria by July 1, 1988.
* The exemption period was extended to July 3, 1989, benefiting developers.
* Environmentalists argue that this extension is illegal and unfairly benefits developers.
* Developers claim that the grandfather clause is not an exemption at all, but rather a recognition of projects that received preliminary approval from municipalities before the transition-area regulations took effect.
* Some developers spent ""large sums of money"" struggling to obtain approvals only to find out they now need to redesign their projects to accommodate buffer zones.
* Assemblywoman Maureen Ogden sponsored the original legislation and intended for the grandfather clause to benefit projects already in the pipeline, not start over from scratch.
* The regulations require not only preliminary approval but also exemption from Army Corps of Engineers regulations, making it difficult for projects that don't meet both criteria to proceed.
* Lawsuits against the Department of Environmental Protection are expected to range ""easily into the hundreds"".
* Developers argue that the state is going beyond its traditional role of regulating environmental issues and attempting to regulate land areas that are not environmentally at risk.
* Environmentalists disagree, citing the importance of transition zones for flood protection and ecological balance.

Let me know if you'd like me to extract any specific information or if you have any further questions!"
8907090,270810,1.
8907087,270816,0
8907091,270960,0
8907092,270994,0
8908001,271155,0. There is no mention of police at the event in the news article.
8908004,272559,0
8908006,272660,"This news article discusses a plan by the New Jersey Department of Education to revise its special education system, which aims to help students with mild learning problems without labeling them as ""handicapped."" The current system requires a formal classification process for students with disabilities, but the new plan would eliminate this requirement and provide resources for regular education classes.

The article quotes Dr. Jeffrey Osowski, director of the State Department of Education's Division of Special Education, who emphasizes that the goal is to serve these students effectively without the stigma of being labeled ""handicapped."" He notes that eliminating disability labels does not mean that students would lose their rights or access to services under the Individuals with Disabilities Act (IDEA).

Critics argue that the plan is a ruse to save money, as state and federal aid are tied to the number of students classified as handicapped. However, Dr. Osowski counters that the plan would actually serve more students effectively without labeling them.

The article also mentions pilot schools in New Jersey that have implemented the new system and reports positive feedback from teachers and administrators. While some critics have expressed concerns about the plan's potential impact on students with more severe disabilities, Dr. Osowski emphasizes that the pilot is still ongoing, and final recommendations will not be made until next year.

The article highlights the benefits of this approach, including:

1. Eliminating stigma: By not labeling students as ""handicapped,"" the system aims to reduce stigma and promote inclusion.
2. Increased flexibility: The resource committee can provide services within regular education classes, allowing for more flexible support for students.
3. Cost savings: Pilot schools have reported no significant cost increases or decreases, suggesting that the new system is financially viable.

Overall, this article provides a balanced view of the pros and cons of the New Jersey Department of Education's plan to revise its special education system."
8908007,273499,1
8908008,273564,0
8908009,274616,0
8908011,274652,1
8908016,274701,1
8908012,274967,0
8908019,276655,1.
8908030,278790,1
8908036,279017,1
8908032,279427,1
8909001,279819,1.
8909002,280010,1
8909006,280400,1
8909007,280447,1
8909009,280661,1
8909014,280696,1
8909067,280696,1. Yes
8909013,280814,1.
8909015,280986,0
8909016,281020,0
8909019,281473,0
8909025,281874,0
8909026,281947,1
8909027,281947,1.
8909023,281950,1
8909024,281981,0
8909028,281991,1
8909031,282614,0.
8909032,282861,"The Helms amendment is a controversial proposal that would restrict the National Endowment for the Arts (NEA) from funding projects that contain obscene or indecent material. Some members of Congress, including Representatives Rohrabacher and Yates, are opposed to the amendment, but fear that publicly voting against it could lead to attacks from conservatives.

Representative Rohrabacher is prepared to force a roll-call vote on the Helms amendment by moving to instruct the House conferees to agree to the unrelated amendment. He has lined up support from 22 national organizations representing conservative interests and plans to use parliamentary tactics to prevent debate from being terminated.

If Representative Rohrabacher succeeds in forcing a roll-call vote, his colleagues are aware of the risks involved in opposing him. In the past, similar attempts to limit funding for the NEA have been met with fierce opposition, and lawmakers who voted against such measures were targeted by conservative groups.

Representative Yates, a 14-year veteran of fighting off attempts to weaken the NEA, believes that Representative Rohrabacher's efforts will ultimately fail because the Helms amendment has been rejected in the past. However, Senator Helms, who originally proposed the amendment, is known for his ability to dramatize his position and may still manage to push it through.

The debate over the Helms amendment has sparked intense emotions on both sides of the issue, with rallies and letter-writing campaigns being staged by supporters and opponents alike. The outcome of this battle remains uncertain, but one thing is clear: the controversy surrounding the NEA will continue to be a contentious issue in Congress for some time to come."
8909036,283261,1
8909041,283618,0
8909043,283698,0
8909044,283700,1
8909045,283701,1
8909046,283703,1.
8909040,283748,0.
8909048,284176,1
8909049,284329,0
8909052,285538,1
8909054,285559,1
8909056,285708,0.
8909057,285871,0
8909059,286202,0
8909058,286207,0. There is no mention of police at the event in this news article.
8909064,286560,1
8909065,286960,0
8909062,286974,0
8910004,287330,1.
8910002,287521,0
8910007,288457,0
8910012,288915,1
8910017,289072,0
8910015,289392,1
8910016,289394,1
8910018,289561,1.
8910022,289777,0
8910024,289954,1.
8910025,290400,0
8910027,290865,0
8910032,292967,1
8910034,293679,1
8910040,294779,1.
8910039,294802,1.
8910042,295175,1.
8910046,295712,1.
8910044,296269,1
8910045,296351,1
8911005,296902,0
8911001,296907,1
8911003,296941,1
8911004,296943,0
8911006,297977,0.
8911008,298587,0
8911011,298899,1
8911010,299052,1
8911013,299615,0
8911017,300139,0
8911018,300140,0
8911016,300190,1
8911021,300578,1
8911024,300832,0
8911025,301517,0
8911028,303269,0
8911029,303387,1
8911032,303757,0
8911031,303794,1
8911033,303957,1
8911034,304476,0
8911039,304792,0
8911040,305117,0
8911042,305339,0
8912002,305657,1
8912003,305786,0
8912007,306267,1
8912012,306682,0
8912014,306684,0
8912011,306707,1-Yes
8912015,306765,0
8912018,306909,0
8912022,307280,0
8912029,307652,0
8912032,308112,0
8912030,308134,1
8912035,308405,1
8912036,308427,1.
8912039,308880,0
8912044,309029,0
8912045,309042,0
