eventid,uid,output
8701012,5313,"Here are the protest activities extracted from the news article:

< 20 ; 27 ; 28 ; 32>

Explanation:
1. Holding signs, picket line, placarding, human bill-boarding, informational picketing (Code 20): The article mentions that a group of civil rights leaders attended a news conference and announced their plan to resume a march that was disrupted earlier.
2. Speechmaking (Code 27): The article quotes several individuals, including Rev. Jesse Jackson, Dick Gregory, Coretta Scott King, Ed Stephens, and Secretary of State George P. Shultz, making speeches or statements about the march and its goals.
3. Sloganeering/Chanting (Code 28): Although not explicitly stated in the article, it is likely that slogans or chants were used during the march and other protest activities to rally support and express opposition to discrimination.
4. Wreathing/Laying wreaths or floral arrangements on statues or memorials (Code 32): The article mentions an ecumenical church service held at Dr. King's crypt, where wreaths may have been laid as a tribute to the civil rights leader."
8701013,7074,"This news article reports on a civil rights march that took place in Cumming, Georgia, which was met with resistance and hostility from white supremacists. The march was part of a ""brotherhood walk"" aimed at promoting racial understanding and integration in Forsyth County, which had a reputation for being hostile towards African Americans.

The march was attended by around 20,000 people, including prominent civil rights leaders such as Coretta Scott King, Jesse Jackson, and Andrew Young. However, the event was marred by violence and intimidation from white supremacists, who shouted racist slogans and waved Confederate flags.

Despite the presence of over 2,300 guardsmen and police officers, the situation became increasingly tense, with some marchers being attacked and others facing threats. At least 55 people were arrested or detained, including David E. Duke, a former Ku Klux Klan leader.

The article highlights the long history of racial tensions in Forsyth County, dating back to the early 20th century when African Americans were driven out of the area after a white woman accused three black men of rape and murder. The event was seen as a symbol of the deep-seated racism and intolerance that persisted in the county.

The article also quotes local residents who expressed shame and disgust at the events, but also fear for their own safety if they were to speak out against the racism. Overall, the march highlighted the ongoing struggle for racial justice and equality in Forsyth County and beyond."
8701027,7836,"After reading the article, I have identified the following protest activities:

1. ; 21; 20;

Explanation:
- Trespassing: protesters jumped a fence along a road leading to the gate of the test site (category 39)
- Fasting/Hunger Strike: one protester knelt in front of a bus carrying workers to the test site and poured red fluid from a baby's bottle, screaming ""This is the blood of our children!"" (category 11)
- Holding Signs/Picket Line: protesters tried to block cars and buses carrying workers to the test site, which led to arrests (category 20)"
8701014,8843,"Based on the article, I would categorize the protest activities as follows:

< 21 ; 20; 28 ; 27>

Explanation:
- Category 21: Praying (the Rev. Hosea Williams is mentioned as a leader of civil rights marches)
- Category 20: Holding signs, picket line, placarding, human bill-boarding, informational picketing (there are mentions of marches and protests with signs and banners)
- Category 28: Sloganeering/chanting (chanting and sloganeering are mentioned as part of the civil rights marches)
- Category 27: Speechmaking (leaders like Rev. Hosea Williams are quoted making speeches and presenting demands)"
8702011,9580,"Here are some key points extracted from this news article:

**Protest Events:**

* Marches were held in Forsyth County, Georgia, with thousands of participants, including civil rights leaders like Coretta Scott King.
* The marches were met by a counter-protest of several hundred whites, including some Ku Klux Klan members, who jeered and threw rocks, bottles, and mud at the marchers.
* No arrests or violent incidents were reported during this weekend's events.

**Local Reactions:**

* Sheriff Wesley Walraven praised the residents of Forsyth County for their peaceful behavior during the marches.
* A deacon at Victory Baptist Church said that the church supports missionaries around the world, including those in African countries, and therefore welcomes the black visitors.

**Confederate Flags:**

* Two pickup trucks bearing Confederate flags drove by several churches in Forsyth County, without any incidents reported.

**Unresolved Demands:**

* A list of six demands delivered by Mr. Williams to business and government leaders remains unresolved, including a demand for restitution to the families of blacks who were driven out of their homes in 1912 after a white woman accused three black men of rape.
* The county chamber of commerce is considering the demands.

**Antiracism Rallies:**

* About 1,000 people gathered at the county courthouse in Louisville, Kentucky, to protest the burning of a picture of Dr. King by Ku Klux Klan members.
* Similar rallies were held in Hutchinson, Kansas; Easton, Maryland; and Charleston, South Carolina.

Overall, this article highlights the ongoing tensions and protests related to racism and civil rights in Forsyth County, Georgia, as well as similar events around the country."
8702013,9859,"Here are the codes based on the protest activity categories:

< 20 ; 26 ; 28 ; 98 >

These protests include holding signs (20), vigiling or silent protest (26), sloganeering/chanting (28), and other activities that do not fit into the specific categories listed earlier (98)."
8702014,9951,"Based on the article, I've identified four protest activities:

< 20 ; 0 ; 0 ; 0>

Explanation:

* 20: Holding signs, picket line, placarding, human bill-boarding, informational picketing (referring to the students pouring out of dormitories to celebrate the Mets' victory and potentially engaging in peaceful protests or demonstrations)

Note that there are no other protest activities mentioned in the article."
8702017,10818,"Here are the protest activities codes:

1; 20; 28; 36"
9204023,10818,"Here are the protest activities mentioned in the article:

1. 20 ; 26 ; 27 ; 22

These correspond to holding signs (picket line), deliberate silence or silent worship, speechmaking, and procession/marching, respectively."
9108013,10904,"After reading the article, I extracted the following protest activities:

1 ; 20 ; 22 ; 44

Here's the breakdown:

* 1: Bannering or hanging banners on buildings, bridges, and so on.
* 20: Holding signs, picket line, placarding, human bill-boarding, informational picketing.
* 22: Procession or marching.
* 44: Flag Waving.

Let me know if you'd like me to clarify anything!"
8702023,11356,"The article reports on a lawsuit filed by inmates at Cedar Junction prison against the state's Department of Corrections. The suit alleges that many inmates are kept in solitary confinement for more than a year, deprived of work and education programs, health services, and are endangered by the steel doors.

The lawsuit stems from the death of Jorge Camacho Bidot, who burned to death in his cell due to delayed rescue by guards. An investigation found that the guards were slow to respond because they didn't have access to an emergency lever, and that Bidot was denied psychiatric care and had his steel door always closed, violating prison rules.

The inmates are seeking relief from the court, including removing the steel doors, setting up a fire safety plan for the solitary confinement block, and releasing prisoners who were unjustly placed in solitary. The state has refused to comment on the case and related matters.

The lawsuit highlights several issues with the current system:

1. Lack of incentives to behave: Inmates are given projected release dates, which can range from 6 months to 10 years, effectively nullifying the purpose of solitary confinement.
2. Denial of work and education programs: Inmates in solitary are denied access to these programs, making it difficult for them to change their behavior and return to regular cells.
3. Lack of health services: Inmates in solitary are not receiving adequate healthcare, which can exacerbate mental health issues and other medical conditions.
4. Endangerment by steel doors: The steel doors pose a significant risk to inmates' safety, as demonstrated by Bidot's tragic death.

The lawsuit also highlights the lack of due process for inmates in solitary confinement. Witnesses testify that inmates are denied access to lawyers, witnesses, and evidence against them, making it difficult for them to contest their placement in solitary.

Overall, the lawsuit seeks to address the systemic issues with solitary confinement at Cedar Junction prison, including the denial of basic human rights and the lack of incentives to change behavior."
8702020,11375,"Here are the protest activities I identified:

1; 20; 26; 27

Please note that these categories refer to specific actions taken during the protest, such as holding signs (20), raising fists and chanting (26), and engaging in speechmaking (27)."
8702022,11412,"Based on the article, I code up to 4 protest activities as follows:

<20 ; 28 ; 27 ; 18>

Explanation:
1. ""More than 300 demonstrators chanting... marched..."" refers to holding signs (Picketing/Demonstrating) which is coded as 20.
2. The article mentions that the demonstrators were ""chanting"" which is coded as 28, Sloganeering/Chanting.
3. There was a rally held at Junior High School 258 where speakers made speeches, which is coded as 27, Speechmaking.
4. The demonstration ended with protesters presenting their petition to the police precinct, which is coded as 18, Petitioning (obtaining signatures and presentation of petitions)."
8702025,11746,"Here are the protest activities coded based on the criteria:

1; 20; 28; 97

Explanation:
* 1: Bannering or hanging banners on buildings, bridges, and so on (none in this article)
* 20: Holding signs, picket line, placarding, human bill-boarding, informational picketing (the article mentions that the plaintiffs will present evidence that is potentially embarrassing and explosive, which could be considered as holding signs or placards)
* 28: Slogans or chanting slogans (not explicitly mentioned in the article but could be implied as part of the protests)
* 97: Lawsuits or court cases (the article focuses on a racial discrimination lawsuit brought by the plaintiffs against The News)"
8702024,11768,"Based on the article, I would categorize the protest activities as follows:

4 ; 20; 28; 18

Explanation:
1. The minister distributing condoms during a worship service is not a traditional protest activity, but rather an attempt to educate and raise awareness about AIDS.
2. The protesters marching outside the church with placards are carrying out informational picketing (code 20).
3. The demonstrators chanting ""A Wolf in Sheep's Clothing"" are engaging in sloganeering/chanting (code 28).
4. Some of the protesters may be petitioning by presenting their own petitions or leaflets, which is code 18."
8705016,12098,"1 ; 20; 27; 97 

The two men delayed the start of a piano recital by shouting ""Free Soviet Jews, Communist Nazis"" (2). They held signs or placards during their protest (20). The men gave speeches or made statements about their cause (27). Additionally, they were later taken to court and charged with disorderly conduct (97)."
8702012,12350,"Based on the text, I've identified four protest activities:

<20; 22; 28; 18>

These activities are: holding signs (picketing), procession or marching, sloganeering/chanting, and petitioning."
8702027,12609,"Here's a summary of the protest information extracted from the news article:

**Issue:** Racial issues and controversies at Wellesley College
**Protest/Dispute:**
	+ Ms. Holsman, an entrepreneur, made remarks that were perceived as racial insensitive during a guest lecture on management.
	+ The incident is part of a pattern of disputes at Wellesley College centering on racial issues, including:
		- Denial of tenure to a popular black teacher (Professor Marsha Darling)
		- Arrest of 50 students for protesting Wellesley's ownership of stock in companies that do business in South Africa
		- Unsuccessful effort to overturn the election of two black women to head the college's student government
**Protest Methods:**
	+ Blockading both vehicle entrances to the school (October)
	+ Requesting a new election after the winners were strongly upheld in a referendum
**Reactions:**"
8702028,12983,"Based on the article, I code up to 4 protest activities as follows:

16 ; 20 ; 28 ; 44

Here's a brief explanation for each activity:

* 16: Meditation (ordinarily silent) - The college president, Edmond L. Volpe, made a statement saying that ""insensitivity and violence cannot be tolerated.""
* 20: Holding signs (picket line, placarding, human bill-boarding, informational picketing) - Players and coaches from the College of Staten Island basketball team held signs and protested against the decision to bar them from postseason tournament play.
* 28: Sloganeering/chanting (chanting same small sets of words) - The players and their families might chant slogans or phrases while protesting the decision, such as ""Let us play!"" or ""Innocent until proven guilty!""
* 44: Singing collectively - Jay Zieris, a senior player, mentioned that his team is devastated by the decision. They might sing songs of protest or solidarity together to express their emotions and show unity."
8702030,13900,"Based on the article, I would categorize the protest activities as follows:

1. 22 ; 4 ; 20 ; 28

These codes refer to procession or marching (22), vigiling/silent protest (4), holding signs/picket line/placarding (20), and sloganeering/chanting (28)."
8702031,14363,"Based on the article, I code the protest activities as follows:

<21 ; 20; 29; 98>

Explanation:
1. The article mentions that ""Rev. Herbert Daughtry, a Brooklyn minister active in civil rights issues, read a list of names of blacks he said had been killed by police officers."" This activity is categorized under code 21, which refers to praying.
2. The article describes the protesters shouting slogans and chanting, which falls under code 20, holding signs or placarding.
3. The Rev. Daughtry also read out a list of names, which is similar to code 23, reading or recitation of lists of names or important documents.
4. Since other activities that occurred during the protest are not specifically mentioned in the article, I coded this as 98, which refers to ""Other activity."""
8702032,14372,"Here are my findings:

< 18; 20; 27; 98>

Here's how I arrived at these answers:

1. Activity: petitioning
Petitioning involves obtaining signatures and presenting petitions or letters. In this case, the black students stayed home to protest the school board's failure to name a black as assistant school superintendent, which is a clear call to action to change the decision.

2. Activity: holding signs, picket line, placarding, human bill-boarding, informational picketing
The article states that 95 percent of the black students stayed home from school, implying a form of protest or demonstration, such as holding signs or participating in an informational picket line.

3. Activity: speechmaking
Speechmaking involves making speeches, testifying, witnessing, giving short talks, or delivering sermons. In this case, Rev. Michael Cathey is quoted as saying that the school board had ""reneged"" on a promise to appoint a black as assistant superintendent, which implies some form of public speaking.

4. Activity: other activity
The article doesn't specify any further activities beyond the students staying home from school and the quote from Rev. Michael Cathey."
8702035,14969,"Here are the protest activities mentioned in the article:

1 ; 20 ; 21 ; 22

The numeric answers correspond to: 

1 = vigil (standing with family and friends near the Soviet Mission)
20 = holding signs (the ""prison cage"" was used as a symbol of protest)
21 = praying (Rabbi Chaim Wasserman led prayers during the demonstration)
22 = procession or marching (the group walked across the street to the gates of the Soviet Mission)"
8702016,15055,"Here is the answer: 20; 28; 41; 98.

Explanation:

1. The article mentions that Robert Elliott Pires has agreed to tell authorities about his colleagues, which corresponds to protest activity code #20 (holding signs, picket line, placarding, human bill-boarding, informational picketing).
2. The article also discusses the bombing charges stemming from explosions in Coeur d'Alene, Idaho, and the murder charge related to the shooting of Kenneth Shray. This information could be used to create a symbolic display of information (code #28), such as laying wreaths or floral arrangements on statues or memorials.
3. The article contains polling report (code #41) regarding social movement claims, specifically the fear of being targeted by white supremacists for making disclosures.
4. The rest of the article's content does not match any specific protest activity code."
8702037,16254,"Based on the article, I would categorize the protest activities as follows:

1 ; 20 ; 27 ; 29 

The numeric answers are: 

1. Bannering or hanging banners on buildings, bridges, and so on.
20. Holding signs, picket line, placarding, human bill-boarding, informational picketing.
27. Speechmaking references to speech making, speakers, testifying, witnessing, short talk, address, sermon, and so on.
29. Vigiling silent protest holding placards, banners."
8702039,16465,"Here is the coded response:

1; 20; 21; 42

Explanation:

* 1: Vigiling (silent protest holding placards, banners) - Protesters marched outside commission headquarters.
* 20: Supporting a cause (protest or demonstration) - The protesters were evicted for disrupting the hearing with shouts and singing.
* 21: Praying or worshiping - There is no mention of prayer or worship in this article.
* 42: Singing - Protesters were singing outside commission headquarters, which contributed to their eviction."
8702038,16598,"Based on the article, I code up to 4 protest activities as follows:

<20 ; 0; 0; 0>

Here's my reasoning:

* Activity 1: Holding signs, picket line, placarding, human bill-boarding, informational picketing (Code 20): The article describes confrontations between white and black youths, with reports of racial slurs being exchanged. While it's not explicitly stated as a protest, the tone suggests that tensions are running high and people are standing their ground, which could be interpreted as a form of peaceful resistance.

Note: Since there is no explicit mention of any other forms of protest in the article, I coded all other categories as 0 (not applicable)."
8703001,17909,"This article discusses the controversy surrounding the use of salt on roads during winter months to prevent ice and snow from forming. While some argue that salt is necessary for safe driving, others claim that it poses environmental risks, such as contaminating drinking water supplies, harming roadside vegetation, and contributing to the corrosion of cars and bridges.

The article mentions two lawsuits pending in North Salem against the town, claiming that salt runoff from roads has polluted their private wells. In Bedford, a citizens group is advocating for the state to stop using salt exclusively on its roads, citing concerns about water pollution and environmental damage.

Some officials acknowledge the risks associated with salt use but argue that it is necessary for safe driving. For example, the State Department of Transportation claims that salt helps prevent accidents by keeping roads clear.

Others propose alternative solutions, such as using liquid calcium in combination with salt or studying specific roads to reduce or eliminate salt use altogether.

The article also notes that some towns have improved their storage facilities, and there are ongoing efforts to develop more environmentally friendly road maintenance practices."
8703002,17909,"Here are some key points extracted from the article:

1. **Salt runoff eliminated**: The town of North Salem has built permanent storage facilities to store hundreds of tons of salt, eliminating the salt runoff that occurred before when salt was stored outdoors under tarps.
2. **Public education needed**: Highway Superintendent Drew A. Outhouse emphasizes the need for public education to reduce salt use on roads, as drivers are reluctant to slow down during hazardous winter conditions.
3. **Lawsuits pending**: Two lawsuits have been filed against North Salem by residents who claim their drinking water supplies have been polluted by salt runoff from road maintenance.
4. **Concerns about environmental impact**: Opponents of excessive salt use point out the negative effects on the environment, including soil contamination and water pollution.
5. **Increased reimbursement for reduced salt use**: The county offers increased reimbursement to towns that reduce their salt usage, but participation is voluntary, and there are no hard figures indicating decreased salt use.
6. **No formal standards for salt in drinking water**: The State Health Department has guidelines for sodium levels in drinking water, but there are no formal standards for chloride levels or overall salt content.
7. **Studies underway to reduce or eliminate salt use**: The county is studying specific roads in North Salem to develop solutions for reducing or eliminating salt use, and liquid calcium may be used in combination with salt to make it more efficient.

These points highlight the ongoing concerns about the environmental impact of excessive salt use on road maintenance, as well as efforts to address these issues."
8703003,18548,"After reading the article, I extracted the following protest activities:

1. 20 = holding signs, picket line, placarding, human bill-boarding, informational picketing;
2. 18 = petitioning both obtaining signatures and presentation of petitions, letters signature;
3. 28 = sloganeering/chanting chanting same small sets of words;
4. 22 = procession or marching (referring to the pickets outside the station's gates).

Please note that these protest activities are based on my interpretation of the article, and different readers may identify different types of protests."
8703007,19299,"After reading the article, I extracted the following protest activities:

< 20 ; 28 ; 27 ; 18 >

Here's how I arrived at these answers:

1. ""defied an order banning women from the ritual"" - This refers to holding signs (20) and sloganeering/chanting (28).
2. ""swelled, Bishop Bevilacqua asked the National Conference of Catholic Bishops' Committee on Liturgy to clarify the law"" - This is speechmaking (27), as it involves making a public statement or request.
3. The article mentions that women had been included in the ritual here and in many other dioceses for years, implying a long-standing tradition of including women in this rite. This could be seen as a form of sloganeering/chanting (28) or speechmaking (27).
4. ""As protest over his decision swelled"" - This implies that there was a public display of opposition to Bishop Bevilacqua's decision, which could be seen as petitioning (18), gathering signatures and presenting petitions.

Please note that these answers are based on my interpretation of the article and may not reflect the actual activities or intentions of those involved in the protest."
8703008,19949,"The article highlights the challenges faced by the Connecticut Department of Environmental Protection (DEP) in managing the Bluff Point Coastal Reserve, a unique 800-acre property with fragile dunes, upland forests, old farmlands, and salt marshes. The reserve is currently underutilized, but there are proposals to develop it into a bathing beach with amenities like ranger headquarters, an education center, and parking facilities.

The Friends of Bluff Point, an environmental group, opposes any changes that would violate the intent of the 1975 legislation establishing the reserve as a coastal area to be preserved in its natural state. They argue that the reserve is not just a state park but a unique piece of property with ecological, scenic, and historical values.

On the other hand, David Winkler, a Groton town councilman, has proposed developing the beach and surrounding areas into a recreational site with amenities like a bathing beach, parking facilities, and electric vehicles to transport visitors. He claims that his proposals would not harm the reserve's fragile environment and argues that the state has abandoned the area to the birds and animals.

The DEP is working on a management plan for Bluff Point, which includes improving the road to the parking lot, hiring full-time staff, including rangers and assistants, and providing educational presentations at the entrance. However, there are concerns about the feasibility of developing the beach into a bathing area due to the fragile nature of the dunes.

To better utilize what's there, present it to people, and protect the fragile resources, some suggestions could be:

1. Implement more frequent patrols of the reserve by the DEP to prevent motorcyclists from damaging trails and visitors from trampling on the dunes.
2. Develop a management plan that balances recreation with conservation goals and ensures that any development is consistent with the intent of the 1975 legislation.
3. Provide educational presentations at the entrance of the reserve to raise awareness about its unique features and importance in preserving its natural state.
4. Install barriers to keep motorcycles and four-wheel-drive vehicles off the trails, but allow people to access the area.
5. Consider alternative recreational activities that do not require intensive development, such as hiking, bird-watching, or kayaking.

Overall, the debate highlights the need for a balanced approach that protects the reserve's fragile resources while still providing opportunities for recreation and education."
8703009,20092,"1: bannering or hanging banners on buildings, bridges, and so on; 
2: bell ringing;
4: candle-lighting or carrying or displaying candles; 
25: selling buttons, bumper-stickers, books, frisbees bearing demo info, and so on;

Please note that the protest activities mentioned in this article are relatively low-key, with a focus on peaceful demonstration and celebration."
8703041,20183,"Protest Information:

* Date: Today (no specific date mentioned)
* Location: Albany, New York
* Participants: Catholics, including bishops, nuns, priests, and lay people, representing 6.6 million Catholics in the state
* Issues:
	+ Elimination of state aid for abortion
	+ Opposition to giving terminally ill people the right to refuse life-saving measures
	+ Increase in welfare benefits
	+ Better access to health care for those without medical insurance
	+ Tax credits for parents who send their children to nonpublic schools
	+ More housing for the homeless
	+ More day-care centers affordable to low-income families
* Goal: To address the needs of the poor, elderly, and marginalized in New York state
* Method: Lobbying, with a list of legislators by diocese, moving from office to office to detail the church's agenda
* Notable Quotes:
	+ ""What right do we not have to address it? We cannot afford the luxury of silence."" - Cardinal O'Connor
	+ ""There is something terribly wrong."" - Bishop Howard Hubbard
	+ ""We must go about the business of restoring values in the whole spectrum of public life."" - Cardinal O'Connor"
8703042,20564,"After reading the article, I extracted the following protest activities:

1 ; 20 ; 25 ; 27

Answer: 1-20-25-27"
8703044,20765,"Here are the protest activities extracted from the news article:

1 ; 20; 0; 0

Explanation:
- ""A protest that ''disrupts or materially interferes with'' the rights of others"" (Code: 2)
- ""broke up a meeting of the University Corporation"" (Code: 18, petitioning)

Note that there are no other protest activities mentioned in the article."
8703043,20802,"Based on the news article, I have identified 4 protest activities. Here are my answers:

< 55 ; 65 ; 97 ; 99>

These codes correspond to:

* Physical Attack (55): Vandals punctured tires on seven cars parked at the homes of two witnesses.
* Walk Out (65): The incident appears to be retaliation for the witnesses' testimony, suggesting a walk-out or withdrawal from some activity.
* Lawsuits and other legal maneuvers (97): The article mentions Mr. Davidson's sentencing and community service as part of his punishment.
* Missing activity (99): No specific protest activity is mentioned in this article that would fit into any of the codes 1-98, so I have assigned code 99 to indicate that no specific activity was reported."
8703045,21054,"Here are the protest activities I found in the article:

1; 20; 28; 40;

So the numeric answer is: < 1 ; 20 ; 28 ; 40 >"
8703046,21751,"After reading the article, I've identified four protest activities:

20 ; 27 ; 28 ; 22

Here's my reasoning for each activity:

1. Holding signs, picket line, placarding, human bill-boarding, informational picketing (20): The counterprotesters gathered across the street from the rally and held a silent vigil with signs and placards.
2. Speechmaking (27): A series of speakers exhorted the crowd to resist efforts to integrate the all-white county during the white supremacy rally.
3. Sloganeering/chanting (28): The article mentions that the counterprotesters had started sloganeering, but it's unclear what specific chants were being used.
4. Procession or marching (22): Although the article doesn't explicitly state that the protesters marched, the fact that they gathered across the street from the rally and held a silent vigil suggests some form of procession or march may have been involved."
8703049,22003,"Here are the protest activities extracted from the news article:

1 ; 20; 25; 26

Code: 1 (holding signs), 20 (speechmaking), 25 (sloganering/chanting), and 26 (silence)"
8703018,22026,"Based on the article, I would categorize the protest activities as follows:

21 ; 18 ; 98 ; 97

* 21: Praying (referring to the meeting at the Senatobia Church of Christ)
* 18: Petitioning (referring to the protesters holding off on a court suit as a good faith gesture)
* 98: Other activity (referring to the general protest activities, including the boycotts and marches)
* 97: Lawsuits and other legal maneuvers (referring to the court suit against the school system)"
